condition_id,location_id,year,avg_rainfall,avg_temp,tonnes_pesticide
101,4,2006,591.0,18.35,65872.12
102,4,2007,591.0,16.71,81582.64
103,4,2007,591.0,17.14,81582.64
104,4,2008,591.0,17.71,87149.01
105,4,2008,591.0,18.39,87149.01
106,4,2009,591.0,18.16,61586.56
107,4,2009,591.0,18.09,61586.56
108,4,2010,591.0,17.33,105915.04
109,4,2010,591.0,17.84,105915.04
110,4,2011,591.0,17.58,100424.62
111,4,2011,591.0,17.93,100424.62
112,4,2012,591.0,18.18,136185.08
113,4,2012,591.0,18.43,136185.08
114,4,2013,591.0,16.45,171945.54
115,4,2013,591.0,16.88,171945.54
116,5,1992,562.0,7.44,8.0
117,5,1993,562.0,7.69,8.0
118,5,1994,562.0,8.84,23.0
119,5,1995,562.0,9.76,23.9
120,5,1996,562.0,9.55,32.0
121,5,1997,562.0,9.1,41.46
122,5,1998,562.0,10.28,50.92
123,5,1999,562.0,10.11,60.38
124,5,2000,562.0,9.68,69.85
125,5,2001,562.0,10.18,79.31
126,5,2002,562.0,9.41,88.77
127,5,2004,562.0,9.55,204.77
128,5,2005,562.0,9.58,220.51
129,5,2006,562.0,9.89,227.55
130,5,2007,562.0,9.44,241.71
131,5,2008,562.0,9.51,218.2
132,5,2009,562.0,9.67,198.36
133,5,2010,562.0,11.31,278.72
134,5,2011,562.0,8.93,278.72
135,5,2012,562.0,10.2,278.72
136,5,2013,562.0,11.08,278.72
137,6,1990,534.0,16.8,17866.0
138,6,1990,534.0,20.06,17866.0
139,6,1990,534.0,12.11,17866.0
140,6,1990,534.0,14.16,17866.0
141,6,1990,534.0,18.05,17866.0
142,6,1990,534.0,17.47,17866.0
143,6,1991,534.0,16.78,17866.0
144,6,1991,534.0,20.29,17866.0
145,6,1991,534.0,12.22,17866.0
146,6,1991,534.0,13.77,17866.0
147,6,1991,534.0,18.73,17866.0
148,6,1991,534.0,17.85,17866.0
149,6,1992,534.0,15.78,22234.0
150,6,1992,534.0,19.79,22234.0
151,6,1992,534.0,11.21,22234.0
152,6,1992,534.0,13.31,22234.0
153,6,1992,534.0,18.45,22234.0
154,6,1992,534.0,16.89,22234.0
155,6,1993,534.0,16.71,23899.0
156,6,1993,534.0,20.19,23899.0
157,6,1993,534.0,11.84,23899.0
158,6,1993,534.0,13.81,23899.0
159,6,1993,534.0,18.03,23899.0
160,6,1993,534.0,17.42,23899.0
161,6,1994,534.0,16.43,21057.0
162,6,1994,534.0,19.59,21057.0
163,6,1994,534.0,11.6,21057.0
164,6,1994,534.0,13.52,21057.0
165,6,1994,534.0,19.17,21057.0
166,6,1994,534.0,17.36,21057.0
167,6,1995,534.0,16.14,25598.0
168,6,1995,534.0,20.12,25598.0
169,6,1995,534.0,11.39,25598.0
170,6,1995,534.0,13.14,25598.0
171,6,1995,534.0,18.88,25598.0
172,6,1995,534.0,16.95,25598.0
173,6,1996,534.0,16.12,31185.0
174,6,1996,534.0,20.06,31185.0
175,6,1996,534.0,11.29,31185.0
176,6,1996,534.0,13.05,31185.0
177,6,1996,534.0,19.13,31185.0
178,6,1996,534.0,17.05,31185.0
179,6,1997,534.0,16.48,34091.0
180,6,1997,534.0,20.16,34091.0
181,6,1997,534.0,12.13,34091.0
182,6,1997,534.0,13.93,34091.0
183,6,1997,534.0,18.94,34091.0
184,6,1997,534.0,17.51,34091.0
185,6,1998,534.0,16.28,37215.0
186,6,1998,534.0,20.62,37215.0
187,6,1998,534.0,12.46,37215.0
188,6,1998,534.0,13.61,37215.0
189,6,1998,534.0,18.9,37215.0
190,6,1998,534.0,18.05,37215.0
191,6,1999,534.0,16.77,34200.0
192,6,1999,534.0,19.75,34200.0
193,6,1999,534.0,12.1,34200.0
194,6,1999,534.0,14.2,34200.0
195,6,1999,534.0,19.28,34200.0
196,6,1999,534.0,17.55,34200.0
197,6,2000,534.0,17.08,33475.0
198,6,2000,534.0,19.89,33475.0
199,6,2000,534.0,12.09,33475.0
200,6,2000,534.0,14.32,33475.0
201,6,2000,534.0,19.07,33475.0
202,6,2000,534.0,17.57,33475.0
203,6,2001,534.0,16.63,32710.0
204,6,2001,534.0,20.21,32710.0
205,6,2001,534.0,12.29,32710.0
206,6,2001,534.0,14.18,32710.0
207,6,2001,534.0,18.39,32710.0
208,6,2001,534.0,17.85,32710.0
209,6,2002,534.0,16.63,26651.0
210,6,2002,534.0,20.38,26651.0
211,6,2002,534.0,12.31,26651.0
212,6,2002,534.0,14.08,26651.0
213,6,2002,534.0,18.93,26651.0
214,6,2002,534.0,17.73,26651.0
215,6,2004,534.0,16.64,36276.0
216,6,2004,534.0,20.42,36276.0
217,6,2004,534.0,12.35,36276.0
218,6,2004,534.0,13.74,36276.0
219,6,2004,534.0,18.87,36276.0
220,6,2004,534.0,17.87,36276.0
221,6,2005,534.0,16.93,34310.0
222,6,2005,534.0,20.71,34310.0
223,6,2005,534.0,12.48,34310.0
224,6,2005,534.0,14.38,34310.0
225,6,2005,534.0,18.26,34310.0
226,6,2005,534.0,18.03,34310.0
227,6,2006,534.0,16.75,35900.0
228,6,2006,534.0,20.17,35900.0
229,6,2006,534.0,12.51,35900.0
230,6,2006,534.0,13.99,35900.0
231,6,2006,534.0,18.99,35900.0
232,6,2006,534.0,17.75,35900.0
233,6,2007,534.0,17.49,32446.25
234,6,2007,534.0,20.31,32446.25
235,6,2007,534.0,12.83,32446.25
236,6,2007,534.0,14.99,32446.25
237,6,2007,534.0,18.84,32446.25
238,6,2007,534.0,18.02,32446.25
239,6,2008,534.0,16.7,42935.38
240,6,2008,534.0,19.79,42935.38
241,6,2008,534.0,12.0,42935.38
242,6,2008,534.0,14.11,42935.38
243,6,2008,534.0,18.78,42935.38
244,6,2008,534.0,17.32,42935.38
245,6,2009,534.0,17.39,38065.68
246,6,2009,534.0,20.65,38065.68
247,6,2009,534.0,12.87,38065.68
248,6,2009,534.0,14.65,38065.68
249,6,2009,534.0,19.01,38065.68
250,6,2009,534.0,18.18,38065.68
251,6,2010,534.0,16.72,42169.39
252,6,2010,534.0,20.33,42169.39
253,6,2010,534.0,12.37,42169.39
254,6,2010,534.0,14.23,42169.39
255,6,2010,534.0,19.09,42169.39
256,6,2010,534.0,18.0,42169.39
257,6,2011,534.0,16.9,47632.99
258,6,2011,534.0,19.88,47632.99
259,6,2011,534.0,12.16,47632.99
260,6,2011,534.0,14.19,47632.99
261,6,2011,534.0,19.99,47632.99
262,6,2011,534.0,17.71,47632.99
263,6,2012,534.0,16.84,48687.88
264,6,2012,534.0,20.08,48687.88
265,6,2012,534.0,11.79,48687.88
266,6,2012,534.0,14.27,48687.88
267,6,2012,534.0,19.55,48687.88
268,6,2012,534.0,17.47,48687.88
269,6,2013,534.0,17.39,45177.18
270,6,2013,534.0,20.14,45177.18
271,6,2013,534.0,12.19,45177.18
272,6,2013,534.0,14.74,45177.18
273,6,2013,534.0,19.98,45177.18
274,6,2013,534.0,18.09,45177.18
275,7,1990,1110.0,9.23,4246.0
276,7,1991,1110.0,8.15,4487.0
277,7,1992,1110.0,9.49,3897.0
278,7,1993,1110.0,8.48,3984.0
279,7,1994,1110.0,9.89,3619.0
280,7,1995,1110.0,8.79,3402.0
281,7,1996,1110.0,7.4,3565.0
282,7,1997,1110.0,8.37,3689.6
283,7,1998,1110.0,9.01,3340.3
284,7,1999,1110.0,9.17,3418.6
285,7,2000,1110.0,10.08,3563.2
286,7,2001,1110.0,8.75,3132.2
287,7,2002,1110.0,9.62,3079.2
288,7,2004,1110.0,8.76,3301.7
289,7,2005,1110.0,8.6,3404.0
290,7,2006,1110.0,9.13,3415.7
291,7,2007,1110.0,10.03,3526.6
292,7,2008,1110.0,9.96,4246.7
293,7,2009,1110.0,9.48,3531.8
294,7,2010,1110.0,8.36,3692.4
295,7,2011,1110.0,9.42,3441.5
296,7,2012,1110.0,9.42,3563.3
297,7,2013,1110.0,10.03,3108.6
298,8,1992,447.0,10.93,148.68
299,8,1993,447.0,10.53,148.68
300,8,1994,447.0,11.32,148.68
301,8,1995,447.0,12.81,148.68
302,8,1996,447.0,11.96,148.68
303,8,1997,447.0,11.89,148.68
304,8,1998,447.0,12.79,148.68
305,8,1999,447.0,12.74,148.68
306,8,2000,447.0,12.61,148.68
307,8,2001,447.0,12.97,148.68
308,8,2002,447.0,12.45,148.68
309,8,2004,447.0,12.76,148.68
310,8,2005,447.0,12.88,148.68
311,8,2006,447.0,12.66,148.68
312,8,2007,447.0,12.75,148.68
313,8,2008,447.0,12.3,262.99
314,8,2009,447.0,12.6,316.18
315,8,2010,447.0,13.85,333.85
316,8,2011,447.0,11.79,461.84
317,8,2012,447.0,13.0,516.35
318,8,2013,447.0,14.12,489.8
319,9,1992,1292.0,25.1,484.59
320,9,1993,1292.0,25.26,484.59
321,9,1994,1292.0,25.73,484.59
322,9,1995,1292.0,25.44,484.59
323,9,1996,1292.0,25.06,484.59
324,9,1997,1292.0,25.81,484.59
325,9,1998,1292.0,25.94,484.59
326,9,1999,1292.0,25.31,484.59
327,9,2000,1292.0,25.16,484.59
328,9,2001,1292.0,25.23,375.89
329,9,2002,1292.0,25.79,384.23
330,9,2004,1292.0,25.46,269.66
331,9,2005,1292.0,25.43,315.74
332,9,2006,1292.0,25.34,268.2
333,9,2007,1292.0,25.71,268.2
334,9,2008,1292.0,25.63,268.2
335,9,2009,1292.0,25.46,268.2
336,9,2010,1292.0,24.77,268.2
337,9,2011,1292.0,25.76,268.2
338,9,2012,1292.0,25.46,268.2
339,9,2013,1292.0,25.88,268.2
340,10,1990,83.0,26.26,14.05
341,10,1991,83.0,25.73,14.05
342,10,1992,83.0,25.09,14.05
343,10,1993,83.0,26.09,14.05
344,10,1994,83.0,26.66,30.86
345,10,1995,83.0,26.18,12.46
346,10,1996,83.0,26.76,12.16
347,10,1997,83.0,26.11,9.42
348,10,1998,83.0,27.54,11.15
349,10,1999,83.0,27.67,12.5
350,10,2000,83.0,26.99,8.65
351,10,2001,83.0,27.36,9.2
352,10,2002,83.0,27.19,0.91
353,10,2004,83.0,27.07,12.24
354,10,2005,83.0,26.89,12.75
355,10,2006,83.0,27.15,12.12
356,10,2007,83.0,27.13,16.25
357,10,2008,83.0,26.96,10.45
358,10,2009,83.0,27.24,12.59
359,10,2010,83.0,28.0,9.84
360,10,2011,83.0,27.01,9.14
361,10,2012,83.0,27.45,9.14
362,10,2013,83.0,27.86,9.14
363,11,1990,2666.0,25.98,1266.0
364,11,1991,2666.0,25.85,1287.0
365,11,1992,2666.0,25.86,1453.0
366,11,1993,2666.0,25.73,1487.0
367,11,1994,2666.0,25.91,1594.5
368,11,1995,2666.0,26.09,1702.0
369,11,1996,2666.0,26.15,1919.0
370,11,1997,2666.0,25.55,2035.0
371,11,1998,2666.0,26.13,2068.0
372,11,1999,2666.0,26.31,2532.0
373,11,2000,2666.0,25.91,3170.0
374,11,2001,2666.0,25.93,3295.78
375,11,2002,2666.0,26.1,2954.29
376,11,2004,2666.0,26.14,5587.81
377,11,2005,2666.0,26.19,7605.01
378,11,2006,2666.0,26.44,9074.43
379,11,2007,2666.0,25.95,10962.31
380,11,2008,2666.0,26.0,12936.5
381,11,2009,2666.0,26.54,13790.09
382,11,2010,2666.0,26.65,13283.72
383,11,2011,2666.0,25.8,14798.28
384,11,2012,2666.0,26.28,13289.18
385,11,2013,2666.0,26.59,15330.16
386,12,1992,618.0,6.74,8306.31
387,12,1993,618.0,5.61,8306.31
388,12,1994,618.0,6.26,8306.31
389,12,1995,618.0,6.68,8306.31
390,12,1996,618.0,5.32,8306.31
391,12,1997,618.0,5.98,8306.31
392,12,1998,618.0,6.11,8306.31
393,12,1999,618.0,7.38,8306.31
394,12,2000,618.0,7.52,8306.31
395,12,2001,618.0,6.71,8306.31
396,12,2002,618.0,7.34,8306.31
397,12,2004,618.0,6.49,8306.31
398,12,2005,618.0,6.53,8306.31
399,12,2006,618.0,6.6,8306.31
400,12,2007,618.0,7.51,8306.31
401,12,2008,618.0,7.75,8306.31
402,12,2009,618.0,6.75,8306.31
403,12,2010,618.0,6.71,8306.31
404,12,2011,618.0,7.29,8306.31
405,12,2012,618.0,6.33,9578.67
406,12,2013,618.0,7.83,9163.51
407,13,2000,847.0,11.37,9560.49
408,13,2001,847.0,10.94,8529.07
409,13,2002,847.0,11.44,9204.0
410,13,2004,847.0,10.94,9186.0
411,13,2005,847.0,11.16,9776.0
412,13,2006,847.0,11.48,8244.02
413,13,2007,847.0,11.52,6712.05
414,13,2008,847.0,10.9,6516.47
415,13,2009,847.0,11.0,5496.04
416,13,2010,847.0,9.74,4644.53
417,13,2011,847.0,11.69,5740.44
418,13,2012,847.0,10.68,6139.3
419,13,2013,847.0,10.36,5905.6
420,14,1990,416.0,19.54,17.0
421,14,1991,416.0,19.29,19.0
422,14,1992,416.0,20.59,17.0
423,14,1993,416.0,19.97,17.0
424,14,1994,416.0,19.26,17.0
425,14,1995,416.0,19.96,17.0
426,14,1996,416.0,19.1,17.0
427,14,1997,416.0,19.26,17.0
428,14,1998,416.0,20.05,17.0
429,14,1999,416.0,20.24,17.0
430,14,2000,416.0,18.97,17.0
431,14,2001,416.0,19.36,17.0
432,14,2002,416.0,19.89,17.0
433,14,2004,416.0,19.41,17.0
434,14,2005,416.0,20.42,17.0
435,14,2006,416.0,18.97,17.0
436,14,2007,416.0,19.71,17.0
437,14,2008,416.0,19.63,17.0
438,14,2009,416.0,19.25,17.0
439,14,2010,416.0,19.98,17.0
440,14,2011,416.0,19.19,17.0
441,14,2012,416.0,19.83,17.0
442,14,2013,416.0,18.69,17.0
443,15,1990,1761.0,21.88,49695.0
444,15,1990,1761.0,20.29,49695.0
445,15,1990,1761.0,17.77,49695.0
446,15,1990,1761.0,27.65,49695.0
447,15,1990,1761.0,27.07,49695.0
448,15,1990,1761.0,18.47,49695.0
449,15,1990,1761.0,25.76,49695.0
450,15,1990,1761.0,24.64,49695.0
451,15,1990,1761.0,25.29,49695.0
452,15,1991,1761.0,21.43,58349.44
453,15,1991,1761.0,20.13,58349.44
454,15,1991,1761.0,17.95,58349.44
455,15,1991,1761.0,27.34,58349.44
456,15,1991,1761.0,27.21,58349.44
457,15,1991,1761.0,19.11,58349.44
458,15,1991,1761.0,25.57,58349.44
459,15,1991,1761.0,24.25,58349.44
460,15,1991,1761.0,25.06,58349.44
461,15,1992,1761.0,21.35,67003.89
462,15,1992,1761.0,20.21,67003.89
463,15,1992,1761.0,17.8,67003.89
464,15,1992,1761.0,27.58,67003.89
465,15,1992,1761.0,27.42,67003.89
466,15,1992,1761.0,18.72,67003.89
467,15,1992,1761.0,25.61,67003.89
468,15,1992,1761.0,24.24,67003.89
469,15,1992,1761.0,24.97,67003.89
470,15,1993,1761.0,21.94,75658.33
471,15,1993,1761.0,20.49,75658.33
472,15,1993,1761.0,17.93,75658.33
473,15,1993,1761.0,28.18,75658.33
474,15,1993,1761.0,26.89,75658.33
475,15,1993,1761.0,18.69,75658.33
476,15,1993,1761.0,26.06,75658.33
477,15,1993,1761.0,24.65,75658.33
478,15,1993,1761.0,25.41,75658.33
479,15,1994,1761.0,21.91,84312.78
480,15,1994,1761.0,20.77,84312.78
481,15,1994,1761.0,18.42,84312.78
482,15,1994,1761.0,27.53,84312.78
483,15,1994,1761.0,26.9,84312.78
484,15,1994,1761.0,19.15,84312.78
485,15,1994,1761.0,26.05,84312.78
486,15,1994,1761.0,24.71,84312.78
487,15,1994,1761.0,25.42,84312.78
488,15,1995,1761.0,22.07,92967.22
489,15,1995,1761.0,20.61,92967.22
490,15,1995,1761.0,18.27,92967.22
491,15,1995,1761.0,27.52,92967.22
492,15,1995,1761.0,27.34,92967.22
493,15,1995,1761.0,18.89,92967.22
494,15,1995,1761.0,26.05,92967.22
495,15,1995,1761.0,24.77,92967.22
496,15,1995,1761.0,25.65,92967.22
497,15,1996,1761.0,21.56,101621.67
498,15,1996,1761.0,20.18,101621.67
499,15,1996,1761.0,17.83,101621.67
500,15,1996,1761.0,27.6,101621.67
501,15,1996,1761.0,27.07,101621.67
502,15,1996,1761.0,18.63,101621.67
503,15,1996,1761.0,25.94,101621.67
504,15,1996,1761.0,24.28,101621.67
505,15,1996,1761.0,25.45,101621.67
506,15,1997,1761.0,21.91,110276.11
507,15,1997,1761.0,20.77,110276.11
508,15,1997,1761.0,18.36,110276.11
509,15,1997,1761.0,27.85,110276.11
510,15,1997,1761.0,27.57,110276.11
511,15,1997,1761.0,19.12,110276.11
512,15,1997,1761.0,25.96,110276.11
513,15,1997,1761.0,24.71,110276.11
514,15,1997,1761.0,25.2,110276.11
515,15,1998,1761.0,22.35,118930.56
516,15,1998,1761.0,20.71,118930.56
517,15,1998,1761.0,18.2,118930.56
518,15,1998,1761.0,28.76,118930.56
519,15,1998,1761.0,27.54,118930.56
520,15,1998,1761.0,18.49,118930.56
521,15,1998,1761.0,26.63,118930.56
522,15,1998,1761.0,24.78,118930.56
523,15,1998,1761.0,26.08,118930.56
524,15,1999,1761.0,21.59,127585.0
525,15,1999,1761.0,20.04,127585.0
526,15,1999,1761.0,17.66,127585.0
527,15,1999,1761.0,27.64,127585.0
528,15,1999,1761.0,26.66,127585.0
529,15,1999,1761.0,18.39,127585.0
530,15,1999,1761.0,25.88,127585.0
531,15,1999,1761.0,24.01,127585.0
532,15,1999,1761.0,25.32,127585.0
533,15,2000,1761.0,21.69,140423.0
534,15,2000,1761.0,20.32,140423.0
535,15,2000,1761.0,18.01,140423.0
536,15,2000,1761.0,27.5,140423.0
537,15,2000,1761.0,26.82,140423.0
538,15,2000,1761.0,18.65,140423.0
539,15,2000,1761.0,25.71,140423.0
540,15,2000,1761.0,24.36,140423.0
541,15,2000,1761.0,25.35,140423.0
542,15,2001,1761.0,22.14,151523.0
543,15,2001,1761.0,20.96,151523.0
544,15,2001,1761.0,18.67,151523.0
545,15,2001,1761.0,27.69,151523.0
546,15,2001,1761.0,27.08,151523.0
547,15,2001,1761.0,19.73,151523.0
548,15,2001,1761.0,26.08,151523.0
549,15,2001,1761.0,24.99,151523.0
550,15,2001,1761.0,25.59,151523.0
551,15,2002,1761.0,22.5,145552.0
552,15,2002,1761.0,21.3,145552.0
553,15,2002,1761.0,19.09,145552.0
554,15,2002,1761.0,27.85,145552.0
555,15,2002,1761.0,27.27,145552.0
556,15,2002,1761.0,19.49,145552.0
557,15,2002,1761.0,26.01,145552.0
558,15,2002,1761.0,25.18,145552.0
559,15,2002,1761.0,25.56,145552.0
560,15,2004,1761.0,21.59,214725.0
561,15,2004,1761.0,20.05,214725.0
562,15,2004,1761.0,17.88,214725.0
563,15,2004,1761.0,27.72,214725.0
564,15,2004,1761.0,27.24,214725.0
565,15,2004,1761.0,18.75,214725.0
566,15,2004,1761.0,25.94,214725.0
567,15,2004,1761.0,24.24,214725.0
568,15,2004,1761.0,25.37,214725.0
569,15,2005,1761.0,22.05,232232.0
570,15,2005,1761.0,20.78,232232.0
571,15,2005,1761.0,18.53,232232.0
572,15,2005,1761.0,28.17,232232.0
573,15,2005,1761.0,27.6,232232.0
574,15,2005,1761.0,19.42,232232.0
575,15,2005,1761.0,26.27,232232.0
576,15,2005,1761.0,24.79,232232.0
577,15,2005,1761.0,25.7,232232.0
578,15,2006,1761.0,21.82,238716.0
579,15,2006,1761.0,20.6,238716.0
580,15,2006,1761.0,18.47,238716.0
581,15,2006,1761.0,27.76,238716.0
582,15,2006,1761.0,27.34,238716.0
583,15,2006,1761.0,19.35,238716.0
584,15,2006,1761.0,26.26,238716.0
585,15,2006,1761.0,24.57,238716.0
586,15,2006,1761.0,25.41,238716.0
587,15,2007,1761.0,22.19,304031.0
588,15,2007,1761.0,20.93,304031.0
589,15,2007,1761.0,18.66,304031.0
590,15,2007,1761.0,27.92,304031.0
591,15,2007,1761.0,27.32,304031.0
592,15,2007,1761.0,19.05,304031.0
593,15,2007,1761.0,25.95,304031.0
594,15,2007,1761.0,24.78,304031.0
595,15,2007,1761.0,25.44,304031.0
596,15,2008,1761.0,21.86,312637.0
597,15,2008,1761.0,20.22,312637.0
598,15,2008,1761.0,17.88,312637.0
599,15,2008,1761.0,27.54,312637.0
600,15,2008,1761.0,26.94,312637.0
601,15,2008,1761.0,18.8,312637.0
602,15,2008,1761.0,25.96,312637.0
603,15,2008,1761.0,24.26,312637.0
604,15,2008,1761.0,25.54,312637.0
605,15,2009,1761.0,22.25,335742.0
606,15,2009,1761.0,20.78,335742.0
607,15,2009,1761.0,18.38,335742.0
608,15,2009,1761.0,27.39,335742.0
609,15,2009,1761.0,18.84,335742.0
610,15,2009,1761.0,26.3,335742.0
611,15,2009,1761.0,24.98,335742.0
612,15,2009,1761.0,26.0,335742.0
613,15,2010,1761.0,22.12,342580.0
614,15,2010,1761.0,20.72,342580.0
615,15,2010,1761.0,18.18,342580.0
616,15,2010,1761.0,28.18,342580.0
617,15,2010,1761.0,27.56,342580.0
618,15,2010,1761.0,19.01,342580.0
619,15,2010,1761.0,26.3,342580.0
620,15,2010,1761.0,24.95,342580.0
621,15,2010,1761.0,25.78,342580.0
622,15,2011,1761.0,21.74,345026.0
623,15,2011,1761.0,20.33,345026.0
624,15,2011,1761.0,18.01,345026.0
625,15,2011,1761.0,27.36,345026.0
626,15,2011,1761.0,27.29,345026.0
627,15,2011,1761.0,18.82,345026.0
628,15,2011,1761.0,25.89,345026.0
629,15,2011,1761.0,24.32,345026.0
630,15,2011,1761.0,25.28,345026.0
631,15,2012,1761.0,22.16,346583.0
632,15,2012,1761.0,21.02,346583.0
633,15,2012,1761.0,18.8,346583.0
634,15,2012,1761.0,28.21,346583.0
635,15,2012,1761.0,27.34,346583.0
636,15,2012,1761.0,19.72,346583.0
637,15,2012,1761.0,26.13,346583.0
638,15,2012,1761.0,24.84,346583.0
639,15,2012,1761.0,25.65,346583.0
640,15,2013,1761.0,21.59,367778.0
641,15,2013,1761.0,20.07,367778.0
642,15,2013,1761.0,17.57,367778.0
643,15,2013,1761.0,27.71,367778.0
644,15,2013,1761.0,27.11,367778.0
645,15,2013,1761.0,17.84,367778.0
646,15,2013,1761.0,26.4,367778.0
647,15,2013,1761.0,25.19,367778.0
648,15,2013,1761.0,26.14,367778.0
649,16,1990,608.0,9.51,3906.0
650,16,1991,608.0,8.14,3906.0
651,16,1992,608.0,9.07,3906.0
652,16,1993,608.0,9.0,3777.25
653,16,1994,608.0,10.23,3648.5
654,16,1995,608.0,8.69,3519.75
655,16,1996,608.0,8.44,3391.0
656,16,1997,608.0,8.26,3262.25
657,16,1998,608.0,9.16,3133.5
658,16,1999,608.0,9.67,3004.75
659,16,2000,608.0,9.9,2876.0
660,16,2001,608.0,9.55,2747.25
661,16,2002,608.0,9.6,2618.5
662,16,2004,608.0,9.18,2361.0
663,16,2005,608.0,8.58,2232.25
664,16,2006,608.0,9.08,2103.5
665,16,2007,608.0,10.23,1974.75
666,16,2008,608.0,9.9,1846.0
667,16,2009,608.0,9.74,1717.25
668,16,2010,608.0,9.65,1588.5
669,16,2011,608.0,9.17,1459.75
670,16,2012,608.0,9.99,1331.0
671,16,2013,608.0,11.26,1197.0
672,17,1990,748.0,28.77,29.1
673,17,1991,748.0,28.4,29.1
674,17,1992,748.0,28.06,29.1
675,17,1993,748.0,28.58,17.0
676,17,1994,748.0,28.0,6.0
677,17,1995,748.0,28.46,3.04
678,17,1996,748.0,28.74,39.16
679,17,1997,748.0,28.52,75.29
680,17,1998,748.0,28.95,111.41
681,17,1999,748.0,28.45,93.43
682,17,2000,748.0,28.6,75.44
683,17,2001,748.0,28.77,57.46
684,17,2002,748.0,28.97,39.47
685,17,2004,748.0,28.9,1.28
686,17,2005,748.0,29.18,92.21
687,17,2006,748.0,28.92,109.24
688,17,2007,748.0,28.96,292.05
689,17,2008,748.0,28.4,190.92
